star_mag,impacted_area,total_area,band,fa_x,fa_y
-0.9999999999999982,1768857012.3290007,4006634500.0000024,r,0,0.017453292519943295
-2.3999999999999995,3710900800.9205017,4006634500.0000024,u,0,0
-0.799999999999998,392057199.09400016,4006634500.0000024,i,0,0.026179938779914945
-1.0999999999999983,459945614.0620003,4006634500.0000024,z,0,0
-1.0999999999999983,2277334990.0895014,4006634500.0000024,r,0,0.013089969389957472
-1.1999999999999984,1778456908.5910008,4006634500.0000024,i,0,0
-1.1999999999999984,2312725592.628001,4006634500.0000024,r,0,0
-1.3999999999999986,1656783432.0950007,4006634500.0000024,y,0,0.026179938779914945
-1.0999999999999983,3024760636.1610017,4006634500.0000024,r,0,0.008726646259971648
-1.1999999999999984,2677918307.399502,4006634500.0000024,r,0,0.02181661564992912
-1.3999999999999986,3163366150.0540013,4006634500.0000024,g,0,0
-0.9999999999999982,2964480820.1085014,4006634500.0000024,g,0,0.026179938779914945
-0.9999999999999982,2646097616.2005014,4006634500.0000024,r,0,0.026179938779914945
-0.5999999999999979,89412055.50200003,4006634500.0000024,z,0,0.026179938779914945
-0.8999999999999981,1768857012.3290007,4006634500.0000024,r,0,0.017453292519943295
-0.699999999999998,392057199.09400016,4006634500.0000024,i,0,0.026179938779914945
-0.9999999999999982,459945614.0620003,4006634500.0000024,z,0,0
-0.9999999999999982,2132443066.666001,4006634500.0000024,r,0,0.013089969389957472
-1.0999999999999983,1778456908.5910008,4006634500.0000024,i,0,0
-1.0999999999999983,2288898137.256501,4006634500.0000024,r,0,0
-0.9999999999999982,2724535499.807001,4006634500.0000024,r,0,0.008726646259971648
-1.6999999999999988,1850343944.7900007,4006634500.0000024,y,0,0
-1.2999999999999985,1656783432.0950007,4006634500.0000024,y,0,0.026179938779914945
-0.4999999999999978,89412055.50200003,4006634500.0000024,z,0,0.026179938779914945
-1.0999999999999983,2606728425.6035013,4006634500.0000024,r,0,0.02181661564992912
-0.8999999999999981,2948870972.0965014,4006634500.0000024,g,0,0.026179938779914945
-0.8999999999999981,2211622177.655001,4006634500.0000024,r,0,0.026179938779914945
-0.5999999999999979,392057199.09400016,4006634500.0000024,i,0,0.026179938779914945
-2.1999999999999993,3634582426.964502,4006634500.0000024,u,0,0.026179938779914945
-1.2999999999999985,3155356887.688502,4006634500.0000024,g,0,0
-0.799999999999998,1768857012.3290007,4006634500.0000024,r,0,0.017453292519943295
-0.8999999999999981,369363621.2860002,4006634500.0000024,z,0,0
-0.8999999999999981,1866683000.2810009,4006634500.0000024,r,0,0.013089969389957472
-0.3999999999999977,89412055.50200003,4006634500.0000024,z,0,0.026179938779914945
-0.9999999999999982,1778456908.5910008,4006634500.0000024,i,0,0
-0.9999999999999982,2100317871.245001,4006634500.0000024,r,0,0
-0.8999999999999981,2349153913.5020013,4006634500.0000024,r,0,0.008726646259971648
-0.799999999999998,2268945097.4465013,4006634500.0000024,g,0,0.026179938779914945
-0.4999999999999978,392057199.09400016,4006634500.0000024,i,0,0.026179938779914945
-0.9999999999999982,2606728425.6035013,4006634500.0000024,r,0,0.02181661564992912
